"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"215078_at",3.85811723495458,7.3735319740714,11.9330412359175,6.06653612186992e-15,1.35144225186896e-10,23.5079162536239
"202672_s_at",3.1026963916133,9.42520921328733,11.661246897835,1.26732018069461e-14,1.41160458326669e-10,22.8228045881149
"202581_at",3.8365770468969,9.77622861093592,11.3696144220068,2.82336128774372e-14,1.73465629214721e-10,22.0757822730383
"200800_s_at",3.16923858259442,11.6729605311448,11.3341327238743,3.11470358153649e-14,1.73465629214721e-10,21.9840513924477
"200799_at",2.30438791594041,12.8796529865183,11.035713467318,7.16026165060135e-14,3.19018297580893e-10,21.2052865210169
"217367_s_at",-0.986452522230099,6.34597111772237,-10.1744251004101,8.44227073872911e-13,3.13447442077781e-09,18.8848741772861
"202859_x_at",3.58463803590898,9.29101470544785,10.0349360656818,1.27033751991767e-12,4.04275841874371e-09,18.4989646276547
"205419_at",1.70582489666584,7.6768353109065,9.80154171920957,2.53085127917978e-12,7.00259201954444e-09,17.8470353141622
"204748_at",2.90306737104681,6.89506933919888,9.76404149458319,2.82907609534048e-12,7.00259201954444e-09,17.7415662989528
"202431_s_at",1.88941208648202,9.9354787176298,9.69694530660473,3.45459015261449e-12,7.69579048297931e-09,17.5523637000103
"202643_s_at",2.54703523114546,8.10807963275457,9.36944142436974,9.23345894755925e-12,1.86994331795252e-08,16.619814865546
"201465_s_at",1.83820612451759,8.80534754319416,9.31459639654659,1.09001287037111e-11,2.02351805943811e-08,16.462198474563
"205207_at",1.5310032927795,5.94291070501535,9.04278637218083,2.4942758448345e-11,4.27422946118293e-08,15.6750489735973
"206359_at",1.68442421258657,7.66689556524956,9.00475735640036,2.80254175343418e-11,4.45944447437523e-08,15.5641319472775
"204440_at",1.83187998618035,7.722529034499,8.81606021901303,5.00910747980805e-11,7.37879912958696e-08,15.0109723840749
"218611_at",1.53112328254537,8.66959864211941,8.79781001576263,5.29967168260499e-11,7.37879912958696e-08,14.9572283602165
"203752_s_at",1.30282044292303,11.0754725100025,8.75150458976212,6.11586332443864e-11,8.01429925167762e-08,14.8206752556353
"200664_s_at",2.00285577299686,9.51822869265339,8.71526912785087,6.84246728008981e-11,8.22341258879206e-08,14.7136282567799
"205681_at",2.40287017128214,8.85413348861772,8.70729628108456,7.01372892162541e-11,8.22341258879206e-08,14.6900525645615
"202644_s_at",2.02755026160092,9.75392693972261,8.67180921412612,7.83022135601153e-11,8.72169205739344e-08,14.5850203901432
"202497_x_at",1.72508104859274,8.00542372548687,8.6439944244257,8.53694962447009e-11,9.05607746592001e-08,14.5025858213824
"206932_at",2.66671069070072,7.00016281098854,8.61638064599983,9.30245737086079e-11,9.27968380398995e-08,14.4206516423179
"204103_at",3.03931605751562,9.57762676265039,8.6069047761566,9.58085592726888e-11,9.27968380398995e-08,14.3925135219151
"218880_at",1.58899720921827,6.67300207484598,8.41851896441879,1.72546073854855e-10,1.60158703636026e-07,13.8308313060868
"202464_s_at",1.59569661298364,8.89059509852549,8.38403513692344,1.92245684473785e-10,1.713062845209e-07,13.7275531702868
"209304_x_at",1.73023931701626,11.2283219056516,8.31514241358199,2.38683977008891e-10,2.0450626753181e-07,13.5208014115584
"216215_s_at",-0.615528871901902,8.13437759620373,-8.30094920964967,2.49579764244356e-10,2.05921792891538e-07,13.4781377385155
"213281_at",1.36204160919462,6.88599911208749,8.25425141988909,2.89106275086499e-10,2.26248955694678e-07,13.3376033760971
"220330_s_at",1.6559003301992,9.97738201723057,8.24835400735537,2.94528873508357e-10,2.26248955694678e-07,13.319837609144
"200666_s_at",2.0661792665782,9.88721902509352,8.22424856257438,3.17783599538798e-10,2.3597550823086e-07,13.2471794043404
"207574_s_at",1.66202425411625,12.0861496851101,8.14048055830339,4.14021855990278e-10,2.9752144793211e-07,12.9941761668058
"202912_at",1.36493642638973,10.2275554951881,8.10390453392908,4.64821545907168e-10,3.23588424317937e-07,12.8834603657894
"220034_at",1.04724391070859,6.5315039752356,8.08880389206552,4.87589865671523e-10,3.25743505527634e-07,12.8377076262101
"209457_at",1.84033044639928,8.50117196553572,8.08266685139135,4.97162058981889e-10,3.25743505527634e-07,12.8191061432289
"206026_s_at",2.47572109455779,6.38278611591496,8.02858396082169,5.90167284676625e-10,3.74103484944995e-07,12.655002671305
"212321_at",-0.829804422381611,8.08076399646861,-8.02099377178904,6.04557411591319e-10,3.74103484944995e-07,12.6319464944086
"213839_at",-1.49186170559963,7.89043691903706,-7.9176217843854,8.39785775212088e-10,5.05619127416207e-07,12.3173314690223
"201464_x_at",1.7409800320058,10.9305260348757,7.90750434057421,8.67285465055477e-10,5.08434692237917e-07,12.2864786063688
"210845_s_at",1.93382184250323,7.95018896922882,7.87060185623849,9.75523717358631e-10,5.5722415004098e-07,12.1738560984947
"211434_s_at",1.34767714458728,6.41155211727364,7.85399162175444,1.02859802249226e-09,5.72851953676504e-07,12.12311794757
"203531_at",-0.562595270519067,10.5517974559873,-7.77404281807844,1.32782887708061e-09,7.21464485237191e-07,11.8785153599536
"202284_s_at",1.39091301957142,9.97741855640804,7.75892296169047,1.39361601409348e-09,7.39180570141915e-07,11.8321849984366
"202388_at",1.5181037406277,10.7959039136809,7.74200035348265,1.47115580152233e-09,7.62161343965417e-07,11.7803041257535
"202499_s_at",2.1803915293742,8.38986237815449,7.72266585212138,1.56508999262956e-09,7.92397949222925e-07,11.7209949047381
"217561_at",3.23815965098158,7.03996272283097,7.71432161642345,1.60747673921793e-09,7.95772429323509e-07,11.6953875425382
"201667_at",1.76214314839308,8.47793617423183,7.70724101535647,1.64435155598699e-09,7.96330861146132e-07,11.6736528644979
"212605_s_at",-0.991809740918548,7.95631490332622,-7.69561904267974,1.70673617653e-09,7.99846954039119e-07,11.6379675528706
"37028_at",0.963508796786471,6.65533898022708,7.68702889367301,1.75437607678733e-09,7.99846954039119e-07,11.6115831940445
"205266_at",1.09535973684315,6.14917000192793,7.68266802376642,1.77907187980025e-09,7.99846954039119e-07,11.5981862444508
"212498_at",-0.599051205365184,10.0145124354076,-7.67984761116813,1.79523040364304e-09,7.99846954039119e-07,11.5895207463385
"212665_at",1.46412368930206,10.1730992374478,7.6345370482719,2.07608154833094e-09,9.06840561807225e-07,11.4502050386056
"204094_s_at",1.64361543614176,10.4904220217264,7.62507767398096,2.14009145537674e-09,9.16823410604378e-07,11.4210962921205
"221751_at",-0.66113009481291,10.2034371724049,-7.57142244145334,2.54272019466808e-09,1.05970512693451e-06,11.2558311063551
"207850_at",2.0648145035141,6.63253787590097,7.56825452801943,2.56875148603778e-09,1.05970512693451e-06,11.2460653479556
"214056_at",1.37625721567215,7.64977492806288,7.55097291644882,2.71556133732619e-09,1.08532708795514e-06,11.1927753065743
"204285_s_at",1.63192004303224,6.31325185332194,7.54619006613479,2.75766680400466e-09,1.08532708795514e-06,11.1780220690185
"209545_s_at",0.981015285956976,8.4326195177513,7.54401648632663,2.77701862968277e-09,1.08532708795514e-06,11.1713167462034
"208961_s_at",1.75671847932007,10.1017085765176,7.502638335218,3.17267517653273e-09,1.20856167471844e-06,11.0435889103423
"210056_at",2.55851960708685,9.39207506512366,7.49989414212058,3.20084117288629e-09,1.20856167471844e-06,11.0351127193914
"205239_at",2.02738696486919,7.44496560255599,7.49121464054979,3.29159606268159e-09,1.2221147581393e-06,11.0082994050119
"218810_at",1.45650128913298,7.06195248402133,7.46296845919221,3.60529033383385e-09,1.31664020929208e-06,10.9209944397476
"209630_s_at",-0.944895450605334,7.91530651687603,-7.45429609754127,3.70752144801923e-09,1.33046685561432e-06,10.8941757169056
"202627_s_at",2.65606315315288,8.76426351761209,7.44594096347916,3.80877502401281e-09,1.33046685561432e-06,10.8683319733422
"204848_x_at",1.19311429549908,7.80612952505475,7.44484007459824,3.82232251915952e-09,1.33046685561432e-06,10.8649263113913
"201170_s_at",1.52923716860452,11.0238958293359,7.41047721929854,4.2705091047275e-09,1.46360202040022e-06,10.7585718447048
"203821_at",1.14824778969909,6.94980427533551,7.39201104500969,4.53286045927175e-09,1.51581463419175e-06,10.7013778309331
"204472_at",1.65201248522243,7.78500395206258,7.38730221835945,4.60231900006319e-09,1.51581463419175e-06,10.686789032307
"201169_s_at",1.49268217146249,5.98854965734657,7.38301392564434,4.66650673792377e-09,1.51581463419175e-06,10.673501551086
"213341_at",0.900898997021335,8.76841823331593,7.38112728022597,4.69503118728872e-09,1.51581463419175e-06,10.6676552155884
"212608_s_at",-0.735246106037666,9.72979874067864,-7.3737540163117,4.80820307330717e-09,1.53017628377234e-06,10.6448041805118
"212657_s_at",2.33028739105695,10.4926519221138,7.36282026067385,4.98110349089756e-09,1.56287383755951e-06,10.6109104704869
"217911_s_at",1.92035155374745,9.99972206778079,7.35058678202243,5.18199199753609e-09,1.5916951035201e-06,10.5729763486451
"205193_at",2.0314725893363,8.32682063915138,7.34566142816087,5.26515823438494e-09,1.5916951035201e-06,10.5577002150837
"201502_s_at",1.17458173369049,11.3742313967112,7.34436265899328,5.28731147194359e-09,1.5916951035201e-06,10.5536717218075
"201631_s_at",1.75735051958322,9.88916539036732,7.3327516558899,5.48957969982759e-09,1.63055155964079e-06,10.5176510310256
"205214_at",1.36608159920257,6.34608287012585,7.32808862277848,5.57298845507761e-09,1.63354557649689e-06,10.5031819571469
"210517_s_at",1.591181660868,10.1965096796741,7.30181585406992,6.06736373007176e-09,1.74298994883222e-06,10.4216275460782
"202637_s_at",1.49123261124708,8.45263818200374,7.3000136829993,6.10285119221230e-09,1.74298994883222e-06,10.4160313850179
"219001_s_at",-0.625259981328766,7.49233315312939,-7.25195132413143,7.13043389620455e-09,1.99483162851024e-06,10.2666950006927
"206025_s_at",1.71564026053631,6.33512290479408,7.25051301669492,7.16373525523272e-09,1.99483162851024e-06,10.2622232921841
"201466_s_at",1.94680435767835,9.71024038391582,7.21067580877148,8.15101087583185e-09,2.24172925038156e-06,10.1383082963286
"210538_s_at",2.73102973169997,9.1791261858297,7.20478100957596,8.30830720756217e-09,2.25712389832759e-06,10.1199624625563
"201734_at",-0.665269405567729,9.6915890114468,-7.18587458933127,8.83371642178879e-09,2.37094820154444e-06,10.0611048936771
"209256_s_at",-0.912027534558633,8.41687221394951,-7.15982622708367,9.6128262849919e-09,2.54934441846148e-06,9.97997212732468
"216598_s_at",2.30983658861462,9.99553276295619,7.14977405176979,9.93166091946882e-09,2.57681845176722e-06,9.94864992554531
"36711_at",2.88612572067228,8.42884905763313,7.14927493961242,9.94776616474304e-09,2.57681845176722e-06,9.94709452795946
"203313_s_at",1.42466248303835,8.32755806207693,7.14414642825488,1.01147817886603e-08,2.58996544719523e-06,9.93111140270887
"202241_at",1.55033169569142,11.4555168436212,7.09995198426263,1.16761237860967e-08,2.9557841998054e-06,9.79330404208065
"205067_at",1.78039052446388,7.34674469611487,7.07103971348175,1.28266126585529e-08,3.1759703690216e-06,9.70307909360821
"210873_x_at",1.61458705697331,6.4936984427087,7.06785125545087,1.29602759182563e-08,3.1759703690216e-06,9.69312570401152
"201939_at",1.45371505339288,9.62903948138927,7.06753478883461,1.297361869107e-08,3.1759703690216e-06,9.69213775626679
"211924_s_at",1.37832208394762,7.43267380533947,7.06198250867651,1.3209972705627e-08,3.1986800213397e-06,9.67480355722209
"204170_s_at",1.61275078165894,9.86081789919447,7.04781622779132,1.38328235071199e-08,3.29122013586606e-06,9.63056752092788
"222088_s_at",1.86122474550269,7.65606088891212,7.0466005933956,1.38876281712713e-08,3.29122013586606e-06,9.62677095015671
"202638_s_at",2.12988554462884,8.709114563809,7.01576183221448,1.53534003469389e-08,3.60029157398692e-06,9.53042677658356
"205220_at",1.71590547237727,6.42777481691825,7.01022769477036,1.56324518418439e-08,3.62754301750788e-06,9.51313118438783
"216236_s_at",1.33474823497802,8.13917436654154,6.99486174683238,1.6434289554841e-08,3.77429555065147e-06,9.46509886683657
"218098_at",-0.852116115721177,9.83917763058415,-6.9852871961581,1.69546976187331e-08,3.85407958012773e-06,9.43516262009295
"218019_s_at",-1.03740409158997,7.98870646086096,-6.96436668335639,1.81501808989007e-08,4.08415737257384e-06,9.36973254842368
"204470_at",1.90555740111344,7.80902889489938,6.94289255860109,1.94655121343898e-08,4.33633213817801e-06,9.30254438973337
"211506_s_at",2.63779582148277,5.81596214767249,6.9306153340244,2.02601384731931e-08,4.45300016994625e-06,9.26411956374781
"202443_x_at",-0.807448509965862,9.29425699260167,-6.9286699166291,2.03890118658041e-08,4.45300016994625e-06,9.25803008071855
