"","chromosome","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"202672_s_at","chr1",3.72366925791474,9.25363418252446,14.3049989596268,3.19992571993599e-15,4.07223542490298e-11,24.0356800789866
"209457_at","chr17",2.18146608785028,8.48226946340221,14.2348229667342,3.65599984280018e-15,4.07223542490298e-11,23.9162363009444
"201939_at","chr1",1.97016761189481,9.58873018038638,13.0636936594924,3.6390352545355e-14,2.70222627884291e-10,21.8374855857787
"202644_s_at","chr1",2.37333918193175,9.86551584868248,12.8693847461662,5.40360801016353e-14,3.00940439106032e-10,21.4764525525177
"201236_s_at","chr1",1.58364514287737,8.20496689864104,12.5592689763732,1.0244120671361e-13,4.56416552391817e-10,20.8903581834913
"203752_s_at","chr11",1.78844975902513,10.7951871138893,11.9417513037616,3.78254696022319e-13,1.40439664388153e-09,19.6861906016322
"210056_at","chr17",2.91966420089495,8.99546131429707,11.8542760661106,4.56781138065717e-13,1.45367334467e-09,19.5115322886868
"204103_at","chr11",3.16927690427463,9.47811716160746,11.6761103764616,6.72649425561062e-13,1.87307640665297e-09,19.152609223129
"215078_at","chr20",3.3757700673767,6.46498419706653,11.2433952019822,1.74958710258957e-12,4.3306168760431e-09,18.2628545620626
"202531_at","chr1",1.49916933327064,8.17304742246593,11.0436664155737,2.74106324617341e-12,5.78700185233057e-09,17.8434318702858
"217561_at","chr3",3.53001402140594,6.85185079043951,11.02526692685,2.85752212486584e-12,5.78700185233057e-09,17.8045130994285
"204440_at","chr11",1.86890110789027,7.93778116041191,10.8478867002735,4.27702264784504e-12,7.93993612717033e-09,17.4268747810457
"202643_s_at","chr1",2.57911186330597,8.06857932282779,10.4839358771027,9.906487521738e-12,1.68873167722918e-08,16.6380717938325
"214837_at","chr2",-3.44114284683046,9.01271918376906,-10.4176901250316,1.15639027395645e-11,1.68873167722918e-08,16.4924604630887
"202859_x_at","chr10",3.76583961413143,8.87981223917912,10.400224863923,1.20464186694771e-11,1.68873167722918e-08,16.4539660801382
"218880_at","chr5",1.63648766244908,6.47673127431078,10.3973086769515,1.21289701645944e-11,1.68873167722918e-08,16.4475343774358
"201466_s_at","chr1",2.90721419684141,9.58141592867795,10.3126572536112,1.47954269645897e-11,1.91984073051816e-08,16.2603012507815
"201170_s_at","chr1",1.83555341990638,10.9274222473938,10.2925549502031,1.55124716745194e-11,1.91984073051816e-08,16.2156871750834
"209959_at","chr17",2.23380627877693,7.03642214610336,10.1816357774466,2.01603010198727e-11,2.36374224115634e-08,15.9684707169489
"205239_at","chr12",2.44496783257929,7.27171258214425,10.0357552160575,2.85259824033124e-11,3.17736654999296e-08,15.6406252993122
"201531_at","chr1",1.59220132822171,10.9034975214025,9.96589917108275,3.37171195736742e-11,3.29659281840498e-08,15.4825424134769
"212665_at","chr19_GL949747v2_alt",1.7209301044332,10.1911385640356,9.95272378754786,3.47997533533506e-11,3.29659281840498e-08,15.4526474265557
"212657_s_at","chr19_GL949747v2_alt",2.89083168093723,10.2971683867574,9.95238189167592,3.48283157403127e-11,3.29659281840498e-08,15.4518713283823
"204094_s_at","chr11",1.70971799311891,10.1476086002849,9.94423967624423,3.55156563458812e-11,3.29659281840498e-08,15.4333836159812
"205027_s_at","chr12",1.71789593344965,7.61859332710876,9.82978069389826,4.67873384144157e-11,4.04326999853661e-08,15.1724740738382
"202340_x_at","chr1",1.29596912935264,8.07076633406177,9.81985125257448,4.79234641934875e-11,4.04326999853661e-08,15.1497501464449
"216598_s_at","chr3",2.88277309320913,9.70790276277751,9.8106205832576,4.90049333215821e-11,4.04326999853661e-08,15.1286125298754
"205193_at","chr12",2.1378174417433,8.31063780000246,9.57042899556625,8.79282582227448e-11,6.99563503010031e-08,14.5742315918902
"201473_at","chr1",1.45673103199831,8.4185382476968,9.53961039586076,9.482925347798e-11,7.28452165423779e-08,14.502491970118
"201464_x_at","chr1",2.36281112736695,10.7967204941703,9.40194963789484,1.33099671669015e-10,9.88353795256879e-08,14.1803567215868
"202638_s_at","chr1",2.04111240359978,8.42558246298898,9.38512878251605,1.38752820617729e-10,9.97095672548759e-08,14.1408057238567
"221841_s_at","chr6_GL000254v2_alt",1.96397120384183,10.2963959332734,9.23639029097163,2.00762714368348e-10,1.3976221837449e-07,13.7892854866941
"210538_s_at","chr17",3.03631251848434,8.93435281159123,9.19586520628927,2.22134266616972e-10,1.49954092649281e-07,13.6929536255416
"36711_at","chr7",3.2807752922384,8.20679311816277,9.14680979015426,2.51142960755675e-10,1.56899091737896e-07,13.5760255898251
"204794_at","chr11",1.09151322771012,7.0546706831479,9.14520187473606,2.52156724662676e-10,1.56899091737896e-07,13.572187071441
"202068_s_at","chr1",1.65610112083254,10.6480737680572,9.12642102837699,2.64311821100542e-10,1.56899091737896e-07,13.5273244874376
"202431_s_at","chr1",2.04347533253124,10.1883387176217,9.12576511329344,2.64746984240116e-10,1.56899091737896e-07,13.5257567522691
"205249_at","chr12",2.62769632147856,7.28718343604502,9.12143569281923,2.67637719892267e-10,1.56899091737896e-07,13.5154072261759
"213281_at","chr19_KI270938v1_alt",1.74159495112806,6.59328190025925,9.04805987405855,3.21841891516999e-10,1.81541139602411e-07,13.3395887766567
"209545_s_at","chr17",1.0633905167477,8.14835351626552,9.04299887790265,3.25970533918232e-10,1.81541139602411e-07,13.3274332232031
"218810_at","chr5",1.85846373696096,6.8810520609629,9.03021828218375,3.36638971682128e-10,1.82909911516165e-07,13.296720172433
"208961_s_at","chr16",2.10512196734012,10.0958734035679,8.98185873340626,3.8033767737275e-10,2.01732915210304e-07,13.1802937547639
"208786_s_at","chr16",1.41730266049085,9.48175669405271,8.83216090062653,5.56019727435865e-10,2.88057010885785e-07,12.8177569665871
"38037_at","chr7",1.20914997746602,7.313324978618,8.73559590666727,7.11458605176502e-10,3.60208257898112e-07,12.5821893619866
"202081_at","chr1",1.45156247730846,10.7872436083075,8.67715950217184,8.26404970946101e-10,4.0910718972814e-07,12.4389879835813
"213056_at","chr19_KI270915v1_alt",1.42156265075749,9.63582612047387,8.62177116047569,9.52843036829777e-10,4.61445311553412e-07,12.302807041488
"203821_at","chr11",1.3313366338028,7.1759017431994,8.60623339275423,9.91737574745007e-10,4.64474069224239e-07,12.2645267029209
"218611_at","chr4",1.47251178159989,8.69061509401765,8.60270352243331,1.00079702485808e-09,4.64474069224239e-07,12.2558254001259
"201631_s_at","chr1",1.69331863942647,9.87916702437568,8.55201739202898,1.14059412598748e-09,5.18551333563739e-07,12.1306869411946
"206932_at","chr14",3.16386295196953,6.76351675392022,8.5332951841353,1.19713361987963e-09,5.33370913001169e-07,12.0843719626569
"210001_s_at","chr17",1.7444801378311,7.34372694212021,8.52479639227122,1.2237342289651e-09,5.34531910169715e-07,12.0633313242586
"220987_s_at","chr6",0.982037736646856,7.23178687366016,8.48752087860351,1.34771096141982e-09,5.77364559375949e-07,11.9709272404989
"204621_s_at","chr11",2.55502369984151,7.36110672458983,8.44380267564767,1.50955536753529e-09,6.27363720744962e-07,11.8623029158768
"206115_at","chr12",2.42355106116018,6.48587013527204,8.44095893777086,1.52074520448121e-09,6.27363720744962e-07,11.8552279318058
"204622_x_at","chr11",3.1782021016183,7.7726949537801,8.37188046350532,1.82015078816241e-09,7.34688410072582e-07,11.6830185646727
"203574_at","chr10",1.79728781648858,11.1852014102627,8.36629093440625,1.84686227786796e-09,7.34688410072582e-07,11.6690549716853
"202637_s_at","chr1",1.42147971379777,8.3147564974499,8.33321531768114,2.01330871481372e-09,7.86850495436936e-07,11.5863373692016
"202912_at","chr10",1.34931313101924,9.98583608537253,8.25457193002366,2.47319976404631e-09,9.49921916269995e-07,11.3890509743558
"207574_s_at","chr15",1.90238899969101,12.1267894687011,8.19795474293917,2.86942211698807e-09,1.08342570339226e-06,11.2464909613183
"204170_s_at","chr11",1.77505847800762,9.75217813028367,8.15221036066571,3.23641850030176e-09,1.2016282488537e-06,11.130986719529
"212533_at","chr19",1.7542396662089,10.0585320360844,8.11610398742308,3.55961200851465e-09,1.29995863465051e-06,11.0396164006982
"212659_s_at","chr19_GL949747v2_alt",1.20456829176294,7.25070941772886,8.10474584944077,3.66793149601153e-09,1.31791145059111e-06,11.0108369225332
"202768_at","chr1",2.77540915410863,8.33422747183199,8.03782906407936,4.37786670321894e-09,1.54802756424775e-06,10.8409265759576
"216248_s_at","chr22",3.21969862085422,7.4554092557372,8.02958650485916,4.47449808116313e-09,1.55747490240736e-06,10.8199557797627
"201502_s_at","chr1",1.21154238491094,11.123801294428,8.00520343964301,4.77325610958833e-09,1.63590502081999e-06,10.7578665992367
"204286_s_at","chr11",1.28637050292891,4.83473693236592,7.96550329951215,5.30379843050826e-09,1.7901926914611e-06,10.6566031617119
"205114_s_at","chr12",2.62956110485873,8.68591179915681,7.9301433462003,5.82675052125714e-09,1.93735106510515e-06,10.5662328778993
"215111_s_at","chr20",1.10189969260428,11.4230676389411,7.91512359907092,6.06448442326506e-09,1.98674293378052e-06,10.5277961753852
"209304_x_at","chr17",1.87972455707842,11.0277969877203,7.90330897123994,6.25840538391625e-09,2.02055792373192e-06,10.497540577019
"202241_at","chr1",2.11388987277767,11.3785957411523,7.80052991314034,8.23557358659523e-09,2.62091246840831e-06,10.2335608392195
