"","chromosome","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"206336_at","chr13",-1.16561480463918,6.18247322955573,-4.17640051240529,0.000136701712159585,0.999929693523229,-1.18430405620575
"204521_at","chr11",-0.618365065853841,7.28368007492314,-3.77177548761414,0.000477288117999192,0.999929693523229,-1.75572200605168
"201406_at","chr1",-0.242759229975743,13.7312289189,-3.60104718266691,0.000796460494669313,0.999929693523229,-1.99258848356263
"205497_at","chr12",0.269781169614329,5.42125313354443,3.34313745601125,0.00169187852005853,0.999929693523229,-2.34354525367393
"201926_s_at","chr1",-0.560507095295511,8.67257834084304,-3.27870080450994,0.00203397102239719,0.999929693523229,-2.42969212052466
"207177_at","chr14",-0.356460300026242,5.05529019152432,-3.24911163391399,0.00221217257264047,0.999929693523229,-2.4690203762735
"207906_at","chr15",0.176793496748595,4.37131303312204,3.21882718972935,0.00240981759026663,0.999929693523229,-2.50911700329756
"203947_at","chr11",-0.331183311717998,9.56650278088567,-3.20094288488056,0.002534265077709,0.999929693523229,-2.53272013086643
"205268_s_at","chr12",0.232902658875617,5.52104883047347,3.13809912268967,0.00302145607456591,0.999929693523229,-2.61519898508704
"215472_at","chr20",0.255774156365204,5.42173206426315,3.13787898987273,0.0030233084439073,0.999929693523229,-2.61548660823879
"215531_s_at","chr21",0.153313394607056,3.95903567364452,3.09606704209865,0.00339523178116362,0.999929693523229,-2.66994972908148
"204242_s_at","chr11",-0.226491479842675,7.35197923937002,-3.07698462623321,0.00357892220619566,0.999929693523229,-2.69469309341794
"200674_s_at","chr1",-0.142562322710006,14.4719642822536,-3.06705949757508,0.00367811888965838,0.999929693523229,-2.70753408891075
"200817_x_at","chr1",-0.164387556430947,14.4569606500436,-3.04646320783359,0.00389227101191502,0.999929693523229,-2.73411823794904
"205919_at","chr12",0.253032327847291,4.90096679836991,3.00086370982808,0.0044087432380823,0.999929693523229,-2.79266586284181
"214059_at","chr2",0.264165066707187,4.49385887563154,2.98225894002045,0.00463737183297394,0.999929693523229,-2.81642864225187
"217667_at","chr3",0.269661374316344,4.86543608099417,2.98064514595802,0.00465771782525133,0.999929693523229,-2.81848637861889
"220290_at","chr6",-0.258302935551089,5.8282364707771,-2.96423446982271,0.00486941464257437,0.999929693523229,-2.83937977843739
"219820_at","chr6",0.443998033012748,6.0706219179979,2.95454223017455,0.00499863669572765,0.999929693523229,-2.85169221753574
