"","chromosome","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"215078_at","chr20",3.85811723495458,7.3735319740714,11.9330412359175,6.06653612187005e-15,1.35144225186899e-10,23.5079162536239
"202672_s_at","chr1",3.1026963916133,9.42520921328733,11.661246897835,1.26732018069456e-14,1.41160458326664e-10,22.822804588115
"202581_at","chr1",3.8365770468969,9.77622861093592,11.3696144220068,2.82336128774382e-14,1.73465629214732e-10,22.0757822730382
"200800_s_at","chr1",3.16923858259442,11.6729605311448,11.3341327238743,3.11470358153668e-14,1.73465629214732e-10,21.9840513924476
"200799_at","chr1",2.30438791594041,12.8796529865183,11.035713467318,7.16026165060146e-14,3.19018297580897e-10,21.2052865210169
"217367_s_at","chr3",-0.986452522230102,6.34597111772237,-10.1744251004101,8.44227073872851e-13,3.13447442077758e-09,18.8848741772861
"202859_x_at","chr10",3.58463803590898,9.29101470544785,10.0349360656818,1.27033751991767e-12,4.04275841874371e-09,18.4989646276547
"205419_at","chr12",1.70582489666584,7.6768353109065,9.80154171920955,2.53085127917998e-12,7.00259201954457e-09,17.8470353141621
"204748_at","chr11",2.9030673710468,6.89506933919888,9.76404149458318,2.82907609534054e-12,7.00259201954457e-09,17.7415662989528
"202431_s_at","chr1",1.88941208648201,9.9354787176298,9.69694530660473,3.45459015261449e-12,7.69579048297931e-09,17.5523637000103
"202643_s_at","chr1",2.54703523114545,8.10807963275457,9.36944142436972,9.23345894755992e-12,1.86994331795266e-08,16.619814865546
"201465_s_at","chr1",1.83820612451759,8.80534754319416,9.3145963965466,1.09001287037107e-11,2.02351805943802e-08,16.4621984745631
"205207_at","chr12",1.5310032927795,5.94291070501535,9.04278637218081,2.49427584483458e-11,4.27422946118307e-08,15.6750489735972
"206359_at","chr13",1.68442421258657,7.66689556524956,9.00475735640036,2.8025417534342e-11,4.45944447437526e-08,15.5641319472775
"204440_at","chr11",1.83187998618034,7.722529034499,8.816060219013,5.00910747980843e-11,7.37879912958747e-08,15.0109723840748
"218611_at","chr4",1.53112328254536,8.66959864211941,8.79781001576261,5.29967168260535e-11,7.37879912958747e-08,14.9572283602165
"203752_s_at","chr11",1.30282044292302,11.0754725100025,8.75150458976208,6.11586332443945e-11,8.01429925167869e-08,14.8206752556352
"200664_s_at","chr1",2.00285577299685,9.51822869265339,8.71526912785082,6.84246728009082e-11,8.22341258879233e-08,14.7136282567797
"205681_at","chr12",2.40287017128214,8.85413348861772,8.70729628108454,7.01372892162564e-11,8.22341258879233e-08,14.6900525645615
